club name,club description,club sponsor,club email,club recognition_year
Christian Veterinary Fellowship,"The CVF is a group of veterinary students, faculty, and staff who are working to serve and love others by living out their Christian faith. Our goal is to provide a safe environment for people to explore and express their Christian faith through veterinary medicine.","Voluntary Student Organization, Student Experiences & Engagement",ChristianVets.clubs@oregonstate.edu,Recognized For: 2023/2024
Circle K International,"""Service. Leadership. Fellowship.""

A community service group at Oregon State University that follows the motto, ""Live to Serve, Love to Serve!"" Circle K International (CKI) is about community service, leadership development, and friendship organization.","Voluntary Student Organization, Student Experiences & Engagement",CircleK.clubs@oregonstate.edu,Recognized For: 2023/2024
"Coasts, Oceans, Ports, and Rivers Institute","COPRI at OSU Student Chapter bridges the gap between graduate students and working professionals in the field of coastal, ocean, port, waterway, and river engineering.","Voluntary Student Organization, Student Experiences & Engagement",COPRI.clubs@oregonstate.edu,Recognized For: 2023/2024
Collective Greek Council,The CGC aims to nurture and advocate for a community of interest-based chapters in order to foster meaningful relationships and leave a lasting impact on our communities.,"Sponsored Student Organization , Center for Fraternity & Sorority Life",CollectiveGreekCouncil.clubs@oregonstate.edu,Recognized For: 2023/2024
College Bowl,"The purpose of this club is to build academic and professional skills revolving around Food Science and the disciplines that make up Food Science. Participation in this club will build knowledge, networks, and professional opportunities for Food Scientists and the those alike, while being able to meet students from OSU and other schools that are interested in the field of Food Science.","Voluntary Student Organization, Student Experiences & Engagement",collegebowl.clubs@oregonstate.edu,Recognized For: 2023/2024
"College of Earth, Ocean, and Atmospheric Sciences Graduate Student Association","CAGS’s purpose is to advocate for the needs of all graduate students working in the College of Earth, Ocean, Atmospheric Sciences and regarding issues within discipline groups, CEOAS, and the university (OSU). We promote a strong graduate student community through social and academic activities. We facilitate graduate student professional development via numerous committees and initiatives, helping graduate students meet their personal and professional goals. We are committed to addressing and improving equity and inclusion throughout CEOAS, particularly with respect to historically-underrepresented groups and minority communities. CAGS is committed to confronting issues as they arise regarding diversity, equity, and inclusivity within the college, and we will present these issues and advocate on behalf of our graduate student body to the faculty and administration. CAGS engages in outreach and science communication across CEOAS, OSU, and the greater community in an effort to serve as a positive voice for science.","Voluntary Student Organization, Student Experiences & Engagement",CEOASGrads.clubs@oregonstate.edu,Recognized For: 2023/2024
College of Forestry Council of Student Organizations,The CoF Council is the governing body of the student clubs and organizations within the College of Forestry. We are made up of the Student Services Coordinator and elected Council Representatives from each of the CoF clubs. We meet once per month for the school year.,"Department Student Organization, Student Experiences & Engagement",cofstudentclubs@oregonstate.edu,Recognized For: 2023/2024
College of Forestry Logging Sports Team,Timber Sports Team,"Department Student Organization, Student Experiences & Engagement",forestry.loggingsports@oregonstate.edu,Recognized For: 2023/2024
College Student Services Administration Student Association,"The purpose of this College Student Service Administration Student Association is to advocate for the interests and needs of current and future CSSA students, while creating a supportive community that fosters positive relationships between all CSSA students, faculty, alumni, and undergraduates interested in college student services, accomplished through providing opportunities for teaching and sharing learned experiences.","Voluntary Student Organization, Student Experiences & Engagement",CSSASA.clubs@oregonstate.edu,Recognized For: 2023/2024
Collegiate 4-H,"We are a 4-H organization that works to support the Oregon 4-H program Statewide, as well as to provide a source of community and fun for our members.  We organize community service events and networking opportunities for those interested in careers related to 4-H and extension.","Voluntary Student Organization, Student Experiences & Engagement",Collegiate4H.clubs@oregonstate.edu,Recognized For: 2023/2024
Collegiate Farm Bureau,"To engage students in learning, leadership, advocacy, and networking opportunities through organized educational opportunities and conferences in the natural resources and agricultural industries, while connecting students with Oregon Farm Bureau (OFB) at the county, state, and national levels.","Voluntary Student Organization, Student Experiences & Engagement",CollegiateFarmBureau.clubs@oregonstate.edu,Recognized For: 2023/2024
Corvallis Food Project,"A student-led organization dedicated to fighting hunger in Corvallis, in partnership with local residents.","Voluntary Student Organization, Student Experiences & Engagement",milessha@oregonstate.edu,Recognized For: 2023/2024
Cosplayers Club,"For students with the same interest in cosplay to have an organized time and place for meetings where they can compare projects with each other, teach different techniques on prop making, and learn about the broad hobby as a group.","Voluntary Student Organization, Student Experiences & Engagement",Cosplayers.clubs@oregonstate.edu,Recognized For: 2023/2024
Country Western Dance Club,"We are  Country Western Dance Club at Oregon State University. We were created to support the Country Western Dance PAC classes by providing safe and alcohol-free dances on an on-campus setting. Anyone and everyone is welcome to our dances, no prior dancing experience required!","Voluntary Student Organization, Student Experiences & Engagement",CountryWesternDance.clubs@oregonstate.edu,Recognized For: 2023/2024
Country Western Dance Performance Team at Oregon State University (Previously Known as Backwood Beavs),"The Country Western Dance Performance Team at Oregon State University (Previously Known as Backwood Beavs) shall foster enjoyment, learning, and inspiration in the student body and community, as well as confidence and mastery in its members, through the exhibition, teaching, and celebration of Oregon State University’s unique, regional art-form of country western dance.","Voluntary Student Organization, Student Experiences & Engagement",backwood.clubs@oregonstate.edu,Recognized For: 2023/2024
Creative Writing Society,"The Creative Writing Society at Oregon State University brings together creative writers to support them in their writing endeavors. The CWS meets weekly to read and discuss each other's work, giving critique when wanted. It will participate in large and small writing workshops to help writers bring out the full potential with their work. 

The CWS will also connect writers with other resources, including other learning opportunities and the OSU Literary magazine, Prism, as well as prepare for and support them during literary competitions such as NaNoWriMo (National Novel Writing Month).

There are no requirements to attend a meeting; to officially join the club, though, prospective members are asked to attend at least one meeting each month. No previous publications or writing experience are required to join. All we're looking for are people with a desire to write!","Index Negative Balance , Student Experiences & Engagement",CreativeWritingSociety.clubs@oregonstate.edu,Recognized For: 2023/2024
Cru,A caring community passionate about connecting people to Jesus.,"Index Negative Balance , Student Experiences & Engagement",Cru.clubs@oregonstate.edu,Recognized For: 2023/2024
Cycling Club,"OSU Cycling is the campus connection for cycling of all varieties. With an active membership that rides year-round, we can help make your cycling habit a more social one. We lead weekly road and mountain rides, offer many exciting local discounts, access to a friendly listserve, and many fun events on bikes! For those wishing to try out racing for the first time, we offer VERY affordable access to collegiate racing! Your minimal racer dues pay for numerous weekends of travel, registration, and lodging as our teams compete at colleges across the northwest, ranging from Bellingham, Washington to Bozeman, Montana.","Department Student Organization, Rec Sports/Sport Clubs",cycling@oregonstate.edu,Recognized For: 2023/2024
Dam Dance Empire (Previously Known as Beaver Dance Empire),"Dance club dedicated to exploring different areas of the dance world. Meetings to practice technique, learn choreography, and grow as a dancer and the OSU dance community.","Voluntary Student Organization, Student Experiences & Engagement",DamDanceEmpire.clubs@oregonstate.edu,Recognized For: 2023/2024
DAM Robotics Club (Previously Known as the Robotics Club at OSU),The purpose of the Robotics Club is to offer a fun and productive environment for students of all backgrounds to explore the field of robotics and expand their skills in that field.,"Affiliated Student Organizationsponsored by College of Business and Mechanical, Industrial, & Manufacturing Engineering",Robotics.clubs@oregonstate.edu,Recognized For: 2023/2024
DanceSport Team at OSU,Competitive ballroom dance team. EMAIL @ osudancesport@gmail.com,"Voluntary Student Organization, Student Experiences & Engagement",DanceSport.clubs@oregonstate.edu,Recognized For: 2023/2024
Death and Dying Club,"The Death and Dying Club is club that seeks to prompt contemplation, reflection, and acknowledgment of death through conversation and education on death/dying in various contexts.

We are currently in a transition period, as we navigate leadership solutions! Join the club via ideal-logic to stay up to date! Our hope is to get up and running during winter term!","Sponsored Student Organization sponsored by School of History, Philosophy and Religion",DeathandDying.clubs@oregonstate.edu,Recognized For: 2023/2024
Delta Chi,"Our mission is to promote friendship, develop character, advance justice, and assist in the acquisition of a sound education.","Affiliated Student Organization, Center for Fraternity & Sorority Life",DeltaChi.clubs@oregonstate.edu,Recognized For: 2023/2024
Delta Delta Delta,"Delta Delta Delta is a National Fraternity that was founded in 1888 by Sarah Ida Shaw, Eleanor Dorcas Pond, Florence Isabelle Stewart, and Isabel Morgan Breed at Boston University.","Affiliated Student Organization, Center for Fraternity & Sorority Life",DeltaDeltaDelta.clubs@oregonstate.edu,Recognized For: 2023/2024
Delta Gamma,"The objects of this Fraternity shall be to foster high ideals of friendship among women, to promote their educational and cultural interests, to create in them a true sense of social responsibility and to develop in them the best qualities of character.","Affiliated Student Organization, Center for Fraternity & Sorority Life",DeltaGamma.clubs@oregonstate.edu,Recognized For: 2023/2024
Delta Sigma Phi,Delta Sigma Phi - Beta Epsilon Chapter.,"Affiliated Student Organization, Center for Fraternity & Sorority Life",DeltaSigmaPhi.clubs@oregonstate.edu,Recognized For: 2023/2024
"Delta Sigma Theta Sorority, Inc.","Delta Sigma Theta Sorority, Inc. was founded on January 13, 1913 by 22 collegiate women in Washington, D.C. on the campus of Howard University.","Affiliated Student Organization, Center for Fraternity & Sorority Life",DeltaSigmaTheta.clubs@oregonstate.edu,Recognized For: 2023/2024
Delta Tau Delta,"We, the men of Delta Tau Delta, aim to inspire a community of men that help each other improve upon themselves while improving upon the fraternity. Giving opportunities to make positive change on campus, and in one's own life. We cultivate an inclusive culture of equal men who can make the Greek experience what they want, allowing all members to influence the dynamic and legacy of the chapter.","Affiliated Student Organization, Center for Fraternity & Sorority Life",DeltaTauDelta.clubs@oregonstate.edu,Recognized For: 2023/2024
Delta Upsilon,"We are the Oregon State Chapter of the Delta Upsilon Fraternity. We are the premiere non-secret, non-hazing fraternity in the United States.","Affiliated Student Organization, Center for Fraternity & Sorority Life",DeltaUpsilon.clubs@oregonstate.edu,Recognized For: 2023/2024
Design Build Institute of America,This DBIA student chapter is dedicated to expanding and implementing knowledge of the project delivery method of design-build. It seeks to provide a community and foster the creativity and enthusiasm of its students while also encouraging their professional progress.,"Voluntary Student Organization, Student Experiences & Engagement",DesignBuildInstituteofAmerica.clubs@oregonstate.edu,Recognized For: 2023/2024
Design Management Club,"The Design Management Club provides advice, exposure, learning experiences, and career opportunities for students through the sharing of relevant design news and information in the industry, guest speakers, discussion of design/management-related topics, as well as interactive and creative activities with fellow club members.","Voluntary Student Organization, Student Experiences & Engagement",DesignManagement.clubs@oregonstate.edu,Recognized For: 2023/2024
Detachment 685 Cadet Association (Previously known as Flying Beavs),We are an honorary society and a subset of Oregon State Air Force ROTC,"Voluntary Student Organization, Student Experiences & Engagement",Detachment685.clubs@oregonstate.edu,Recognized For: 2023/2024
Disabled Students Union,The Disabled Students Union is a safe place for any disabled student and their allies to find resources and gain support and build community with fellow students on campus.,"Voluntary Student Organization, Student Experiences & Engagement",DisabledStudentsUnion.clubs@oregonstate.edu,Recognized For: 2023/2024
Disc Golf Club,"We are a community of students who wish to learn about, play, and enjoy the sport of disc golf. We gather to provide students with the opportunity to play recreationally and compete with other disc golf clubs.","Department Student Organization, Rec Sports/Sport Clubs",discgolf@oregonstate.edu,Recognized For: 2023/2024
Divine All Treble A Cappella,"Divine, OSU's all treble a cappella group, is made up of students in areas of study ranging from the arts to the sciences who all share a passion for singing. Divine performs on and off of OSU's campus, participates in local competitions, and meets twice weekly. Divine has been providing a space for students to connect with their fellow group members and community through music since 2003.","Voluntary Student Organization, Student Experiences & Engagement",Divine.clubs@oregonstate.edu,Recognized For: 2023/2024
Dodgeball Club,"Oregon State University Dodgeball Club is a fun-loving group of students, and we are dedicated to bringing all of our members some fun and enjoyment in the midst of the challenging and stressful life of being a college student. Not only do we want all of our members to enjoy their time at our practices and events, but we also want them to feel like a part of our welcoming community. We compete at multiple dodgeball tournaments around the Pacific Northwest, but unlike other dodgeball teams and clubs, the OSU Dodgeball club’s main objective is not winning every match. Our goal is to have a good time and to enjoy the journey that these tournaments take us on. If you don't believe us, our club's motto is: ""We're not the best club, but we're the chillest""","Department Student Organization, Rec Sports/Sport Clubs",dodgeball@oregonstate.edu,Recognized For: 2023/2024
E-Campus Environmental Alliance Club,"The E-Campus Environmental Alliance Club encourages environmental discussions, personal and career development, shares resources, and provides support to others that, under traditional club conditions, may be limited or inaccessible to some students.","Voluntary Student Organization, Student Experiences & Engagement",EEAC.clubs@oregonstate.edu,Recognized For: 2023/2024
Earthquake Engineering Research Institute Student Chapter,"EERI at OSU is a student chapter of the national organization, EERI, which aims to reduce earthquake risk by (1) advancing the science and practice of earthquake engineering, (2) improving understanding of the impact of earthquakes on the physical, social, economic, political, and cultural environment, and (3) advocating comprehensive and realistic measures for reducing the harmful effects of earthquakes. 

We seek to achieve these goals here on campus by engaging and educating the OSU CCE student body, volunteering at local schools, educating the Corvallis community on disaster preparedness, managing the Seismic Design Team, and participation in the Virtual Earthquake Reconnaissance Team as well as other collaborations with EERI national.",Sponsored Student Organization sponsored by Civil and Construction Engineering,EERI.clubs@oregonstate.edu,Recognized For: 2023/2024
Ecological Engineering Student Society,"Ecological Engineering is the design of sustainable systems following ecological principles that integrates human activities with the natural environment to the benefit of both. The Ecological Engineering Student Society aims to get students involved in on campus projects relevant to this field, reach out to faculty at the weekly meetings, and learn about exciting career opportunities during our club field trips!",Sponsored Student Organization sponsored by Biological and Ecological Engineering,Eco.clubs@oregonstate.edu,Recognized For: 2023/2024
Economics Club,"The Oregon State University Economics Club strives to promote an interest in economics as a whole. Economic theories can apply in everyday life and in a wide range of majors or professions. The OSU Econ Club is a source for individuals to meet and discuss topics that incorporate economic ideas. As a collective we try to make our club as fun and approachable as possible while also providing an atmosphere that facilitates intellectual conversations. 

If you're interested, join our club on Ideal-Logic to receive our weekly emails, or check out our Instagram.",Sponsored Student Organization sponsored by School of Public Policy,Economics.clubs@oregonstate.edu,Recognized For: 2023/2024
EECS Graduate Student Association,Graduate student organization for electrical engineering and computer science students.,"Voluntary Student Organization, Student Experiences & Engagement",EECSGrads.clubs@oregonstate.edu,Recognized For: 2023/2024
Engineering Speaking Club,The Engineering Speaking Club is designed to provide an environment for engineering students to practice and develop professional speaking skills,"Voluntary Student Organization, Student Experiences & Engagement",EngineeringSpeaking.clubs@oregonstate.edu,Recognized For: 2023/2024
Engineering Student Council,"ESC is a Department Student Organization within the College of Engineering at Oregon State University. The purpose of the ESC is to coordinate and support the activities of engineering student organizations, and the students therein. ESC is the single point of reference in the College of Engineering between faculty, staff, and students for resources pertaining to the creation of new student organizations and the operation of existing ones (policies regarding funding, fundraising, travel, events). ESC is committed to helping engineering organizations and individuals reach their full potential through professional advancement workshops and outreach events.","Department Student Organization, Student Experiences & Engagement",esc.vpinfocomm@oregonstate.edu,Recognized For: 2023/2024
Engineers That Read,"ETRE (Engineers That REad) {Ett-RUH} is a community of students interested in discussing the role engineering plays in systemic racism and related topics. We do this by choosing a book each term to read and discuss as a group. This is a space for students to grow through conversation, and a space to discuss how racialized topics shape our responsibilities as engineers. We usually have 1 or more student-facilitated discussion groups for said book, online and in-person, where 1-2 different members of a group will co-facilitate a meeting each week.",Sponsored Student Organization sponsored by Center for Diversity and Inclusion - COE,EngineersThatRead.clubs@oregonstate.edu,Recognized For: 2023/2024
Engineers Without Borders at Oregon State University,"EWB at OSU is the Oregon State University student chapter of EWB-USA, a non-profit humanitarian organization established to partner with developing communities world-wide to improve their quality of life through the implementation of environmentally and economically sustainable engineering projects, while developing internationally responsible engineering students.","Sponsored Student Organization sponsored by Chemical, Biological & Environmental Engineering",EWB.clubs@oregonstate.edu,Recognized For: 2023/2024
Environmental Sciences Club,"The Environmental Sciences Club aims to provide students with an opportunity to explore and take action on issues they care about relating to the environment. In addition, we engage with the local community through service projects, partake in outings to appreciate and connect with the natural world, and discuss local and global issues openly at weekly meetings.","Sponsored Student Organization sponsored by College of Earth, Ocean & Atmospheric Sciences",EnvironmentalSciences.clubs@oregonstate.edu,Recognized For: 2023/2024
Equestrian Dressage Club,"The Oregon State Dressage Team is a student run organization sponsored through the university's Recreation & Sports Center. Our club focuses on building our member's skills in equestrian dressage both on and off the horse. Throughout the school year each member has the opportunity to receive dressage lessons, audit learning events, volunteer at schooling shows, and help run our annually hosted dressage show and fundraisers. In addition to these opportunities, members can also join the Intercollegiate Dressage Association (IDA) through the club and travel as competing members to recognized IDA shows.","Department Student Organization, Rec Sports/Sport Clubs",equestrian.dressage@oregonstate.edu,Recognized For: 2023/2024
Equestrian Drill Team,"The Oregon State University Equestrian Drill Team welcomes all OSU equestrians (students, faculty, and staff) interested in learning about, practicing, and competing in precision equestrian drill. No drill experience is required. We offer riding and non-riding positions. Additionally, we hold clinics, fundraisers, rides, attend competitions and parades and do team bonding.","Department Student Organization, Rec Sports/Sport Clubs",equestrian.drill@oregonstate.edu,Recognized For: 2022/2023
Equestrian Event Team,"The OSU Event Team is a collegiate Three-Day Eventing club. Our focus is to promote the skills needed to excel in dressage, show jumping, and cross country, through a safe and positive environment. Whether you are an experienced equestrian, or just beginning, we welcome you to join us for meetings, practices, fundraisers, and team bonding experiences. Throughout the year, we attend USEA recognized events all over Area VII and beyond. While having your own horse is preferable, a limited number of lesson horses are available. Though not required, showing is highly encouraged and supported. Conveniently located just 5 minutes from campus, we are based out of Willamette Sport Horses, trained by head coach Brooke Phillips.","Department Student Organization, Rec Sports/Sport Clubs",equestrian.event@oregonstate.edu,Recognized For: 2023/2024
Equestrian Hunter-Jumper,The Hunter-Jumper Team is a club sport that provides new and experienced riders a chance to practice over fences. We accept all levels of riders and provide an inclusive learning environment. Showing is highly encouraged but not mandatory.,"Department Student Organization, Rec Sports/Sport Clubs",equestrian.hunterjumper@oregonstate.edu,Recognized For: 2023/2024
Equestrian Polo Club,"A student-run program which works to develop polo skills through coaching, clinics, and games. No experience required.","Department Student Organization, Rec Sports/Sport Clubs",polo@oregonstate.edu,Recognized For: 2023/2024
Esports at OSU,Esports is a group focused on the development of students and players via competitive gaming also known as Esports. Our main focus is to build a community and provide a hub for players who are passionate about competition in gaming.,"Voluntary Student Organization, Student Experiences & Engagement",Esports.clubs@oregonstate.edu,Recognized For: 2023/2024
Eta Kappa Nu,Electrical and Computer Engineering Honors Society,Sponsored Student Organization sponsored by Electrical Engineering and Computer Science,EtaKappaNu.clubs@oregonstate.edu,Recognized For: 2023/2024
Every Nation Campus,"The purpose of Every Nation Campus at OSU is to be a diverse group of students who are committed to serving the OSU campus by: 1) Sharing the knowledge of life in Jesus Christ with the OSU community, 2) Helping people in their relationship with Jesus Christ and providing them with training for victorious Christian living, leadership, and excellence, 3) Introducing its members to a local church family and other missions or ministry opportunities, and 4) Making a positive impact on the OSU campus by developing students, equipped with biblical solutions to contemporary problems, to serve every facet of the OSU community and ultimately the world.","Voluntary Student Organization, Student Experiences & Engagement",EveryNationCampus.clubs@oregonstate.edu,Recognized For: 2023/2024
Executive Council at Oregon State College of Pharmacy,"The Student Executive Council (EC) is the College of Pharmacy’s student government. Membership is composed of current Pharm.D. students elected by their peers. The EC collaborates with other student organizations to advocate for student issues, communicate student needs to the college administration, promote student’s professional development and provide positive leadership for the College of Pharmacy student body.","Department Student Organization, Student Experiences & Engagement",PharmacyTriad@oregonstate.edu,Recognized For: 2023/2024
Farmhouse Fraternity,"FarmHouse Fraternity International, Inc. is an all-male international social fraternity founded at the University of Missouri on April 15, 1905. It became a nationally recognized fraternity in 1921. FarmHouse is one of only a handful of fraternities not to adopt Greek letters. Today FarmHouse has 34 chapters/colonies/interest groups in the United States and Canada.","Affiliated Student Organization, Center for Fraternity & Sorority Life",Farmhouse.clubs@oregonstate.edu,Recognized For: 2023/2024
Film Club,"Film Club is dedicated to providing members of the OSU community with collaborative opportunities to master their filmmaking skills. Through productions and workshop opportunities, it hopes to elevate the voices of students of all experiences, backgrounds, and levels of technical mastery.  

To get involved, join the discord server linked below","Voluntary Student Organization, Student Experiences & Engagement",Film.clubs@oregonstate.edu,Recognized For: 2023/2024
Finance Club at Oregon State,"Finance Club at Oregon State provides the opportunity for students to learn about various topics regarding the financial industry. Students also meet many industry professionals through guest speakers and an annual company tour trip. Enrollment is not limited to those in the finance option, it is open to any student interested in financial planning, asset management, investment banking, commercial banking, portfolio management, or anyone generally interested in financial markets. Winter term club meetings take place on Tuesdays from 6:00-7:00 p.m. in Austin Hall 222.",Sponsored Student Organization sponsored by College of Business,Finance.clubs@oregonstate.edu,Recognized For: 2023/2024
Financial Planning Club,"This is a student-led, professionally guided club to educate, inspire, and spread awareness about the importance of financial planning.",Sponsored Student Organization sponsored by College of Business,FinancialPlanning.clubs@oregonstate.edu,Recognized For: 2023/2024
Fisheries and Wildlife Club,"We are a professional, non-profit, scientific, and educational association dedicated to excellence in fisheries and wildlife stewardship through science and education. All majors are welcome to join.","Voluntary Student Organization, Student Experiences & Engagement",fw.clubs@oregonstate.edu,Recognized For: 2023/2024
Fisheries and Wildlife Graduate Student Assn.,"The Fisheries and Wildlife Graduate Student Association is a resource for fisheries and wildlife graduate students to enhance their education and enhance the community.

Purpose:
-To improve communication among graduate students and faculty of the Department of Fisheries and Wildlife at Oregon State University.
-To enhance the exchange of ideas and collaboration among graduate students and to promote and endorse their work.
-To expand and diversify the range of educational experiences available to graduate students.
-To increase opportunities for the professional development of graduate students.
-To articulate the needs of graduate students and advocate their views in the department, college and university.","Voluntary Student Organization, Student Experiences & Engagement",FisheriesandWildlifeGrads.clubs@oregonstate.edu,Recognized For: 2023/2024
Flying Club at Oregon State,"The Flying Club @ Oregon State promotes general aviation within Oregon State University and educates the community about general aviation issues. Whether you are an experienced pilot or have never been in an airplane, everyone is welcome!","Voluntary Student Organization, Student Experiences & Engagement",Flying.clubs@oregonstate.edu,Recognized For: 2023/2024
Foal Team,Foal team is an organization for 1st and 2 year Veterinary students at OSU that volunteer to be on call during the winter and spring terms to help with handling and treating mares and foals that come into the Veterinary Teaching Hospital.,"Voluntary Student Organization, Student Experiences & Engagement",foal.clubs@oregonstate.edu,Recognized For: 2023/2024
Food and Fermentation Science Club,"The objectives of the Club shall be to:
1. Foster a close relationship among the Club members, students and faculty members at the University, and local professionals.
2. Encourage leadership among the Club members at local and national levels.
3. Encourage students with interests in food science and fermentation science to develop those interests.

In order to implement the above objectives, the Board of Directors shall:
1. Develop and conduct events that contribute to the knowledge and stimulate the thought and vision of the Club members. These may include professional presentations, field trips, community outreaches, and other professional development opportunities.
2. Conduct activities that encourage the development of civic and social responsibility among the Club members.
3. Develop Club activities that challenge the potential talents of the Club members.

(from Section 2 of the club's bylaws)",Sponsored Student Organization sponsored by Food Science and Technology,FoodandFermentationScience.clubs@oregonstate.edu,Recognized For: 2023/2024
Food Recovery Network at Oregon State,Food Recovery Network unites students to fight food waste and hunger by recovering perishable food that would otherwise go to waste from our campus and surrounding areas and donating them to people in need.,"Voluntary Student Organization, Student Experiences & Engagement",FoodRecoveryNetwork.clubs@oregonstate.edu,Recognized For: 2023/2024
"Forest Stewards Guild, Student Chapter of the Pacific Northwest Region","The Forest Stewards Guild promotes forestry that is ecologically diverse, economically viable, and socially responsible. Our club hosts professional guest speakers, sponsors field trips to local forests, promotes collaboration between disciplines, engages in service-learning projects, and encourages professional development.",Sponsored Student Organization sponsored by College of Forestry,ForestStewardsGuild.clubs@oregonstate.edu,Recognized For: 2023/2024
Forest Utilization Society,"The aim of this student chapter of the National Forest Products Society and International Society of Wood Science and Technology is to encourage a spirit of fellowship among forest products students, faculty, and industry personnel, and promote awareness about forest products and forest products issues. Officers include a president, vice-president, secretary/treasurer, and project coordinator. Membership is open to anyone interested in forest products. Activities include social events, hosting guest speakers, and field trips to local industries and mills.","Voluntary Student Organization, Student Experiences & Engagement",ForestUtilizationSociety.clubs@oregonstate.edu,Recognized For: 2023/2024
Forestry Club,"We are an informal group providing student interaction and activities with regards to forestry. The group strives to promote character, leadership, fellowship, and goodwill among college students.",Sponsored Student Organization sponsored by College of Forestry,Forestry.clubs@oregonstate.edu,Recognized For: 2023/2024
French Club,"The French Club invites you to experience an environment that will immerse french speakers, and non french speakers alike in the many cultures of the regions of France. Expect immersion through music, culture presentations, regional food and dishes, historical stories, and friendly conversation.","Voluntary Student Organization, Student Experiences & Engagement",French.clubs@oregonstate.edu,Recognized For: 2023/2024
Future Beef Professors of America,"This is a club based around networking opportunities for graduate students interested in pursuing careers in academia, specifically surrounding beef production, cattle ranching, dairy, or other cattle industries.","Voluntary Student Organization, Student Experiences & Engagement",fbpa.clubs@oregonstate.edu,Recognized For: 2023/2024
Future Software Engineers,"The purpose of the club is to learn new software engineering concepts, keep up with the current trends and create a network of OSU software engineers. In addition, we are building a community specifically for students interested to pursue their career in the field of software engineering. 

Software Engineering being one of the most prominent fields, it is important to build a community of software engineers at OSU. In doing so we get to build a network which might help future OSU students in getting Software Engineering jobs.",Sponsored Student Organization sponsored by Electrical Engineering and Computer Science,FutureSoftwareEngineers.clubs@oregonstate.edu,Recognized For: 2023/2024
Gaming Club at OSU,"We're a student club at Oregon State University focused on a variety of gaming interests including PC, console, and tabletop gaming. We are primarily focused on casual gaming, with some inclusion of competitive gamers.

We host events ranging from weekly board game nights in our Sackett Gaming Room to club-sponsored D&D. We also maintain several game servers and provide communities for gamers to gather and discuss games and related topics. 

The most up-to-date information can be found on our Discord. http://tinyurl.com/BeaverDiscord","Voluntary Student Organization, Student Experiences & Engagement",Gaming.clubs@oregonstate.edu,Recognized For: 2023/2024
"Gamma Alpha Omega Sorority, Inc. Kappa Chapter","Gamma Alpha Omega Sorority, Inc., is a Multicultural service-based organization dedicated to promoting the achievement and quest of higher education for all women. While learning about cultures, traditions, and values we provide women with leadership, scholarship, and community service opportunities. 

We are a sisterhood founded on the pillars of: 
HONESTY~INTEGRITY~LEADERSHIP~SCHOLARSHIP~UNITY

Our purpose is to promote and instill in every member of our Sorority the values of Honesty, Integrity, Leadership, Scholarship, and Unity. These pillars have become the foundation of our organization and a symbol of devotion to our purpose. By encouraging these admirable characteristics, each member enriches her life with these lifelong attributes. As a member of Gamma Alpha Omega Sorority, Inc., you will also become a significant addition to our strong, unified Sisterhood.","Affiliated Student Organization, Center for Fraternity & Sorority Life",GammaAlphaOmega.clubs@oregonstate.edu,Recognized For: 2023/2024
Garmi,Bollywood Dance Team at Oregon State,"Voluntary Student Organization, Student Experiences & Engagement",Garmi.clubs@oregonstate.edu,Recognized For: 2023/2024
General Engineering Club,"The General Engineering Club works to network engineers of all majors and years, as well non-engineering majors who are interested in the topic of engineering.",Sponsored Student Organization sponsored by College of Engineering,GEC.clubs@oregonstate.edu,Recognized For: 2023/2024
Geo-Institute Graduate Student Organization,"The Geo-Institute Graduate Student Organization (GIGSO) at Oregon State University is affiliated with the Geo-Institute, which was created in 1996 by the American Society of Civil Engineers (ASCE). The Geo-Institute is dedicated to the enhancement of the practice and science of geotechnical engineering.

The GIGSO is open to both graduate and undergraduate students enrolled in the School of Civil and Construction Engineering at Oregon State University focusing their studies in geotechnical engineering.","Voluntary Student Organization, Student Experiences & Engagement",GIGSO.clubs@oregonstate.edu,Recognized For: 2023/2024
Geoscience Club,"The students in the Geoscience Club welcome everyone, no matter their major. The only requirement potential members need is an interest in the geosciences. The club has various fun-filled activities throughout the year, like weekend/day trips, movie nights, guest speakers and much more.","Sponsored Student Organization sponsored by College of Earth, Ocean & Atmospheric Sciences",Geoscience.clubs@oregonstate.edu,Recognized For: 2023/2024
"Girls' Empowerment, Engineering, and Outreach","Engage elementary, middle school, and high school girls in topics related to the STEM fields to inspire girls to pursue careers related to these fields. Give girls the tools they need to feel like they belong in STEM. Serve as role models to exemplify confidence, passion, and determination in their career. Showcase the College of Engineering and other STEM departments as a place where women belong.",Affiliated Student Organizationsponsored by Center for Diversity and Inclusion - COE,GirlsEmpowerment.clubs@oregonstate.edu,Recognized For: 2023/2024
Go Club at OSU,OSU GO Club provides connections and spaces for students who are interested in playing Go/Baduk/Wei Qui to come together and play the game.,"Voluntary Student Organization, Student Experiences & Engagement",Go.clubs@oregonstate.edu,Recognized For: 2023/2024
Google Developer Student Club,"Our club hosts events relating to both web and mobile development. These events range from tech talks, going over Google developer technologies, ML/AI, to career prep. We hope to provide Oregon State with a place for students to come together to learn and connect!",Sponsored Student Organization sponsored by College of Engineering,googledev.clubs@oregonstate.edu,Recognized For: 2023/2024
